,GEOID,7/1/15,8/1/15,9/1/15,10/1/15,11/1/15,12/1/15,1/1/16,2/1/16,3/1/16,4/1/16,5/1/16,6/1/16
1147,36061005000,15835.8862,15262.60535,17980.81535,20976.67722,19450.86817,21109.10026,19510.95216,22126.93189,22088.71483,22347.77113,22902.82591,23439.07726
1148,36061005200,21605.10903,23197.73373,27978.31923,33172.68799,30550.71266,32471.49181,30625.60582,35834.26343,33910.35872,34170.7578,35254.82606,34625.9667
1149,36061005400,21558.7658,23150.15585,27921.3714,33105.53498,30488.58125,32404.98418,30563.51962,35762.38156,33840.83584,34100.49498,35182.64487,34554.13461
1150,36061005501,12380.35959,13138.3733,16089.73514,19066.47907,18069.24708,18996.51677,17422.38494,20662.90064,19661.43333,21219.20107,21194.09541,19304.57422
1151,36061005502,11489.87497,12193.45348,14932.38366,17694.99002,16769.46935,17630.02179,16169.19416,19176.57582,18247.19268,19692.81137,19669.5776,17916.1465
1152,36061005600,22285.78819,23930.87871,28862.82304,34221.71486,31516.61519,33497.70841,31594.02085,36968.10796,34981.99942,35250.39673,36369.1901,35719.48896
1153,36061005700,9169.116016,10112.16481,12726.36298,15316.55685,14661.04281,15073.6274,13614.61751,16504.878,15829.5392,16491.57698,16467.87829,14921.01717
1154,36061005800,22522.86615,24185.42425,29169.98691,34585.99052,31852.01894,33854.14408,31930.31182,37361.67024,35354.20503,35625.45794,36756.02001,36099.39537
1155,36061005900,9848.072539,10860.5358,13679.84847,16467.7585,15764.409,16208.4016,14632.95847,17747.74645,17018.76053,17730.90529,17703.3448,16029.60938
1156,36061006000,3583.658173,5001.220718,5229.504119,6100.442681,5573.12377,5982.2151,5767.075009,6589.436132,6599.52192,7073.647264,7260.099763,6793.620086
1157,36061006100,12071.17018,13312.05605,16763.34676,20178.23387,19315.35183,19859.72739,17932.17923,21745.88283,20853.38131,21725.22478,21692.70551,19646.70164
1158,36061006200,14469.79759,17562.1837,18538.51922,21616.86601,19855.40281,21619.77216,21301.99143,23478.44043,23489.74622,24446.38093,25247.38073,26086.32826
